"Vendor","Invoice Number","Transaction Type","Advertiser","Billing Period","Payment Terms","Invoice Net Amount","Invoice Tax Amount","Invoice Total Amount","Liable Party","Currency","Issue Date","Due Date","Payment Status","Amount Due","Customer PO Number","Ad Account Id","Ad Account Name","Campaign Id","Campaign Name","Campaign Objective","Campaign Clicks","Campaign Impressions","Campaign Labels","Campaign Amount","Campaign Tax Amount","Campaign Total Amount","Campaign Creator","Campaign Last Modified By"
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111111_",,"_22222222222222221_",,,,252,,"฿20.77","฿0.00","฿20.77",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111112_",,"_22222222222222222_",,,,1373,,"฿132.80","฿0.00","฿132.80",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111113_",,"_22222222222222223_",,,,5420,,"฿1,027.13","฿0.00","฿1,027.13",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111114_",,"_22222222222222224_",,,,883,,"฿64.28","฿0.00","฿64.28",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111115_",,"_22222222222222225_",,,,3340,,"฿444.92","฿0.00","฿444.92",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111116_",,"_22222222222222226_",,,,3364,,"฿652.41","฿0.00","฿652.41",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111117_",,"_22222222222222227_",,,,39,,"฿13.65","฿0.00","฿13.65",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111118_",,"_22222222222222228_",,,,93490,,"฿9,750.54","฿0.00","฿9,750.54",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111119_",,"_22222222222222229_",,,,286903,,"฿4,894.29","฿0.00","฿4,894.29",,
"Facebook Ireland Limited",226811017,"Invoice","ReadyPlanet Co., Ltd",2021-01-01,"Net 30","฿302,850.61","฿0.00","฿302,850.61","ReadyPlanet Co., Ltd","THB",02 Feb 2021,04 Mar 2021,"Unpaid","฿302,850.61",,"_111111111111120_",,"_22222222222222230_",,,,,,"-฿2.00","฿0.00","-฿2.00",,
